epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,3549.02,1.05049,1.23948,1.32242,0.65983,0.5929,0.6372,0.42588,1.144,1.16495,1.26534,0.0051985,0.0051985,0.0051985
99,3584.9,1.05514,1.23398,1.32797,0.6632,0.59371,0.63862,0.42652,1.14234,1.16127,1.26362,0.005149,0.005149,0.005149
100,3620.88,1.04397,1.22079,1.31554,0.66366,0.59718,0.63953,0.42771,1.1405,1.15648,1.262,0.0050995,0.0050995,0.0050995
101,3657.19,1.04856,1.2361,1.32562,0.66973,0.59166,0.64039,0.42871,1.13794,1.15365,1.26072,0.00505,0.00505,0.00505
102,3693.07,1.0458,1.23438,1.32237,0.68138,0.58698,0.64125,0.43053,1.13685,1.15096,1.25978,0.0050005,0.0050005,0.0050005
103,3728.97,1.04773,1.24073,1.32081,0.68176,0.5866,0.64244,0.43165,1.13533,1.14884,1.25835,0.004951,0.004951,0.004951
104,3764.74,1.04232,1.22307,1.323,0.67798,0.59022,0.64317,0.43197,1.1347,1.14587,1.25745,0.0049015,0.0049015,0.0049015
105,3800.47,1.04221,1.21823,1.31391,0.6679,0.59958,0.64535,0.43411,1.13091,1.14115,1.25416,0.004852,0.004852,0.004852
106,3836.39,1.05082,1.23616,1.32667,0.67707,0.59612,0.64587,0.4347,1.12849,1.13958,1.25218,0.0048025,0.0048025,0.0048025
107,3872.38,1.04014,1.2097,1.31573,0.67179,0.60321,0.64724,0.4357,1.12691,1.13805,1.25176,0.004753,0.004753,0.004753
108,3908.4,1.04297,1.22418,1.31669,0.68629,0.59538,0.64836,0.43709,1.12563,1.13459,1.25045,0.0047035,0.0047035,0.0047035
109,3944.25,1.03769,1.20827,1.31459,0.67895,0.6025,0.64918,0.43829,1.1239,1.13219,1.2486,0.004654,0.004654,0.004654
110,3980.15,1.03375,1.21124,1.31386,0.68279,0.60295,0.65033,0.43909,1.12233,1.12907,1.24689,0.0046045,0.0046045,0.0046045
111,4015.77,1.02739,1.19384,1.30588,0.68712,0.60093,0.65157,0.44004,1.12127,1.12706,1.24477,0.004555,0.004555,0.004555
112,4052.15,1.03222,1.20255,1.30914,0.68732,0.6013,0.65249,0.44149,1.1198,1.12392,1.24346,0.0045055,0.0045055,0.0045055
113,4088.18,1.01914,1.18758,1.30167,0.6807,0.60615,0.65324,0.44269,1.11896,1.12152,1.2426,0.004456,0.004456,0.004456
114,4123.79,1.02098,1.19663,1.30221,0.68217,0.6055,0.65347,0.44271,1.11719,1.11956,1.24068,0.0044065,0.0044065,0.0044065
115,4159.57,1.02145,1.17466,1.30065,0.68329,0.60512,0.65439,0.4435,1.11519,1.11612,1.23904,0.004357,0.004357,0.004357
116,4195.46,1.01937,1.19086,1.30347,0.68217,0.6055,0.65533,0.44436,1.11342,1.11312,1.2379,0.0043075,0.0043075,0.0043075
117,4231.05,1.02129,1.18369,1.30572,0.67949,0.60703,0.65671,0.44525,1.11245,1.11064,1.23694,0.004258,0.004258,0.004258
118,4267.03,1.02201,1.17603,1.30118,0.67904,0.61046,0.65783,0.44644,1.11173,1.10773,1.23623,0.0042085,0.0042085,0.0042085
119,4303.32,1.0213,1.18055,1.29847,0.68016,0.60894,0.65897,0.44711,1.11145,1.10512,1.2355,0.004159,0.004159,0.004159
120,4339.3,1.01598,1.17356,1.29478,0.6818,0.61065,0.65978,0.44806,1.10964,1.10277,1.23413,0.0041095,0.0041095,0.0041095
121,4374.91,1.00961,1.16619,1.29698,0.67945,0.61466,0.66068,0.44876,1.10932,1.1001,1.23375,0.00406,0.00406,0.00406
122,4410.46,1.00646,1.16678,1.29254,0.68279,0.61199,0.66096,0.44978,1.108,1.09823,1.23252,0.0040105,0.0040105,0.0040105
123,4446.7,1.01177,1.15582,1.29067,0.68365,0.61237,0.66124,0.45058,1.10671,1.09658,1.23175,0.003961,0.003961,0.003961
124,4482.24,1.01036,1.16004,1.29174,0.68468,0.61324,0.66193,0.45157,1.10486,1.09419,1.23032,0.0039115,0.0039115,0.0039115
125,4517.95,1.0029,1.15554,1.28931,0.68549,0.61524,0.6632,0.45196,1.10402,1.09232,1.22968,0.003862,0.003862,0.003862
126,4553.25,1.00774,1.15826,1.29249,0.68503,0.61466,0.66373,0.45263,1.10325,1.09099,1.22883,0.0038125,0.0038125,0.0038125
127,4589.05,1.01083,1.14172,1.28927,0.68676,0.61543,0.66465,0.45371,1.10257,1.08962,1.22816,0.003763,0.003763,0.003763
128,4624.73,1.00797,1.14654,1.28864,0.68604,0.61544,0.66508,0.45417,1.10222,1.08825,1.22777,0.0037135,0.0037135,0.0037135
129,4660.84,1.00351,1.1467,1.28761,0.6866,0.61524,0.6652,0.45485,1.10139,1.087,1.22701,0.003664,0.003664,0.003664
130,4696.84,0.99683,1.12593,1.27917,0.68648,0.61586,0.6658,0.45533,1.10086,1.0855,1.22625,0.0036145,0.0036145,0.0036145
131,4732.37,0.99463,1.13822,1.28238,0.68759,0.61638,0.66606,0.45557,1.10041,1.08432,1.2258,0.003565,0.003565,0.003565
132,4768.58,1.00021,1.13297,1.28102,0.68516,0.62124,0.66682,0.45602,1.09973,1.08291,1.22521,0.0035155,0.0035155,0.0035155
133,4804.38,0.98819,1.13526,1.27808,0.68927,0.61757,0.66718,0.45674,1.09874,1.08164,1.22439,0.003466,0.003466,0.003466
134,4840.15,0.99161,1.12658,1.28001,0.68711,0.62062,0.66758,0.45703,1.09812,1.08014,1.22394,0.0034165,0.0034165,0.0034165
135,4876.12,0.99606,1.13203,1.28133,0.68715,0.6223,0.66819,0.458,1.09705,1.07822,1.22287,0.003367,0.003367,0.003367
136,4911.66,0.98308,1.11733,1.27496,0.68734,0.62169,0.6686,0.45832,1.09621,1.07648,1.22232,0.0033175,0.0033175,0.0033175
137,4947.25,0.98543,1.11265,1.27544,0.68638,0.62288,0.66961,0.45899,1.09532,1.07542,1.22143,0.003268,0.003268,0.003268
138,4982.84,0.99525,1.12883,1.27825,0.68975,0.6215,0.67001,0.45958,1.09434,1.07373,1.22043,0.0032185,0.0032185,0.0032185
139,5018.96,0.9847,1.12638,1.27637,0.6886,0.62239,0.67051,0.45979,1.09332,1.07243,1.21969,0.003169,0.003169,0.003169
140,5054.94,0.97962,1.11293,1.26888,0.69476,0.61963,0.67141,0.46039,1.09277,1.071,1.21923,0.0031195,0.0031195,0.0031195
141,5090.56,0.98382,1.1182,1.27393,0.69579,0.6181,0.67179,0.46066,1.09174,1.06973,1.21848,0.00307,0.00307,0.00307
142,5126.6,0.97999,1.10401,1.2717,0.69448,0.61925,0.67194,0.46119,1.09133,1.06811,1.21806,0.0030205,0.0030205,0.0030205
143,5162.74,0.97908,1.10688,1.26978,0.69339,0.62326,0.67244,0.46198,1.09052,1.06682,1.21756,0.002971,0.002971,0.002971
144,5199.26,0.9789,1.09677,1.26882,0.69408,0.62116,0.67283,0.4622,1.08993,1.06552,1.21728,0.0029215,0.0029215,0.0029215
145,5235.07,0.96931,1.09696,1.26814,0.69589,0.62116,0.67301,0.46237,1.08939,1.06412,1.21693,0.002872,0.002872,0.002872
146,5270.82,0.97276,1.09103,1.26728,0.69478,0.62345,0.67314,0.46283,1.08859,1.06339,1.21625,0.0028225,0.0028225,0.0028225
