epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2312.1,1.08403,1.29469,1.33215,0.66799,0.57051,0.62049,0.40823,1.15461,1.21513,1.24312,0.006139,0.006139,0.006139
80,2339.99,1.07294,1.29436,1.32677,0.66541,0.57724,0.62089,0.4099,1.15337,1.20741,1.24265,0.0060895,0.0060895,0.0060895
81,2368.79,1.07803,1.28609,1.32826,0.67584,0.57113,0.62222,0.41136,1.15357,1.20289,1.2448,0.00604,0.00604,0.00604
82,2396.3,1.0791,1.28504,1.32545,0.67196,0.57615,0.62313,0.41265,1.14681,1.19999,1.2399,0.0059905,0.0059905,0.0059905
83,2426.12,1.07474,1.27914,1.32076,0.67011,0.57819,0.62614,0.41401,1.14867,1.19532,1.23938,0.005941,0.005941,0.005941
84,2454.61,1.0728,1.2738,1.31933,0.66745,0.57991,0.62714,0.41643,1.14649,1.19124,1.23745,0.0058915,0.0058915,0.0058915
85,2483.38,1.07122,1.27584,1.32524,0.67602,0.57773,0.62968,0.41632,1.14466,1.18772,1.23646,0.005842,0.005842,0.005842
86,2511.8,1.06881,1.25997,1.31784,0.67134,0.58411,0.63099,0.41934,1.14037,1.18184,1.23346,0.0057925,0.0057925,0.0057925
87,2541.06,1.05955,1.25682,1.31097,0.67618,0.57814,0.63136,0.41949,1.14054,1.17891,1.2328,0.005743,0.005743,0.005743
88,2569.22,1.06307,1.26766,1.32118,0.67026,0.58583,0.63161,0.41993,1.13761,1.17802,1.23157,0.0056935,0.0056935,0.0056935
89,2598.36,1.05943,1.25751,1.31302,0.67746,0.58526,0.63303,0.42079,1.13609,1.17518,1.22974,0.005644,0.005644,0.005644
90,2626.81,1.05174,1.24254,1.30345,0.67192,0.58935,0.63435,0.4227,1.13473,1.17171,1.22741,0.0055945,0.0055945,0.0055945
91,2655.61,1.05239,1.24779,1.30445,0.67602,0.5864,0.636,0.42337,1.13122,1.16627,1.22645,0.005545,0.005545,0.005545
92,2684.59,1.05736,1.24789,1.30518,0.6802,0.58444,0.63666,0.42487,1.13064,1.16397,1.22513,0.0054955,0.0054955,0.0054955
93,2714.16,1.05259,1.24004,1.30338,0.67057,0.59576,0.63948,0.42573,1.12969,1.16017,1.2235,0.005446,0.005446,0.005446
94,2741.15,1.05428,1.24602,1.30199,0.66481,0.60105,0.64153,0.42681,1.12747,1.1545,1.22183,0.0053965,0.0053965,0.0053965
95,2769.21,1.04217,1.2258,1.29715,0.66601,0.60302,0.64162,0.42873,1.12566,1.15083,1.22039,0.005347,0.005347,0.005347
96,2796.2,1.04469,1.22804,1.30095,0.6659,0.60855,0.6453,0.43146,1.12289,1.14913,1.21824,0.0052975,0.0052975,0.0052975
97,2826.28,1.04889,1.22249,1.30196,0.66681,0.61065,0.64638,0.43181,1.1213,1.14591,1.21755,0.005248,0.005248,0.005248
98,2855.41,1.03643,1.21191,1.291,0.67289,0.6057,0.6468,0.43401,1.11897,1.14208,1.21565,0.0051985,0.0051985,0.0051985
99,2885.4,1.0383,1.20773,1.29344,0.67661,0.60665,0.64911,0.43532,1.11817,1.13739,1.21473,0.005149,0.005149,0.005149
100,2913.76,1.0289,1.1936,1.28574,0.67719,0.60951,0.65109,0.43633,1.11705,1.13422,1.21335,0.0050995,0.0050995,0.0050995
101,2942.28,1.03289,1.201,1.29649,0.68213,0.60482,0.65251,0.43775,1.11418,1.13028,1.21192,0.00505,0.00505,0.00505
102,2971.21,1.03045,1.20384,1.28924,0.67952,0.60703,0.65358,0.43886,1.11227,1.12894,1.21047,0.0050005,0.0050005,0.0050005
103,2999.79,1.03618,1.21379,1.29002,0.69101,0.59827,0.65261,0.43938,1.1122,1.12502,1.21019,0.004951,0.004951,0.004951
104,3026.84,1.03193,1.20246,1.29198,0.68611,0.60645,0.65349,0.4401,1.11201,1.12232,1.20918,0.0049015,0.0049015,0.0049015
105,3055.21,1.02629,1.19236,1.28206,0.68242,0.6118,0.65575,0.44152,1.10983,1.12004,1.20726,0.004852,0.004852,0.004852
106,3083.99,1.03841,1.21,1.29351,0.68494,0.61027,0.65727,0.44295,1.10759,1.11719,1.20515,0.0048025,0.0048025,0.0048025
107,3113.09,1.02672,1.1826,1.28215,0.69267,0.60639,0.65837,0.44415,1.1075,1.11589,1.2046,0.004753,0.004753,0.004753
108,3141.06,1.02994,1.19742,1.2874,0.69153,0.60779,0.65881,0.44453,1.10763,1.1134,1.20461,0.0047035,0.0047035,0.0047035
109,3169.38,1.02338,1.18036,1.28131,0.68899,0.60871,0.65968,0.44537,1.10652,1.1118,1.20326,0.004654,0.004654,0.004654
110,3196.74,1.01718,1.18407,1.28178,0.69421,0.60435,0.66022,0.44618,1.10448,1.11086,1.20178,0.0046045,0.0046045,0.0046045
111,3225.58,1.01289,1.17155,1.27394,0.7014,0.59882,0.661,0.44622,1.10347,1.10936,1.20083,0.004555,0.004555,0.004555
112,3253.53,1.01787,1.17621,1.27556,0.69896,0.60378,0.66286,0.44722,1.10244,1.10676,1.19961,0.0045055,0.0045055,0.0045055
113,3280.76,1.0043,1.15479,1.26924,0.70058,0.6055,0.66357,0.44809,1.10134,1.1039,1.19912,0.004456,0.004456,0.004456
114,3308.73,1.00973,1.16782,1.27225,0.70449,0.6055,0.66468,0.44887,1.10003,1.10172,1.19794,0.0044065,0.0044065,0.0044065
115,3335.56,1.00782,1.15056,1.26991,0.70308,0.60855,0.66503,0.44953,1.0989,1.09932,1.19681,0.004357,0.004357,0.004357
116,3364.98,1.00967,1.16996,1.27318,0.70778,0.60684,0.66591,0.45082,1.09741,1.09675,1.1954,0.0043075,0.0043075,0.0043075
117,3395.14,1.00537,1.15848,1.2689,0.7075,0.60741,0.66666,0.45194,1.09648,1.09443,1.19483,0.004258,0.004258,0.004258
118,3423.16,1.00458,1.14758,1.26744,0.70696,0.60722,0.66708,0.45252,1.09531,1.09303,1.19409,0.0042085,0.0042085,0.0042085
119,3453.7,1.00782,1.1546,1.26945,0.70517,0.60932,0.66722,0.45281,1.09407,1.09094,1.19292,0.004159,0.004159,0.004159
120,3480.14,1.00249,1.14943,1.26032,0.70296,0.61322,0.66841,0.45337,1.09299,1.08954,1.19171,0.0041095,0.0041095,0.0041095
121,3507.14,0.99915,1.1504,1.2639,0.7044,0.61428,0.66892,0.45404,1.09183,1.08713,1.19064,0.00406,0.00406,0.00406
122,3536.69,0.99133,1.14372,1.25852,0.70681,0.61505,0.66949,0.455,1.09095,1.08519,1.1896,0.0040105,0.0040105,0.0040105
123,3564.86,1.0025,1.13245,1.26187,0.7079,0.6164,0.66988,0.45608,1.09028,1.08417,1.18893,0.003961,0.003961,0.003961
